Customer_Number|Basis_No  |Customer_Name                      |Operating_Region|Region_Code|GM_Code   |SM_Code   |Street_Address                     |District|Phone           |Telephone_2     |SuppressedCode|SuppressedDate                               |DSM_Code  |Hierarchy_Type|Sales_Route|MDS_Code              |Trade_Name_Code|Subtrade_Channel_Code|Operational_Market_Code|Creation_Date                         |Indirect_Bus_Partner  |Indirect_Bus_Partner_Channel_Code|Sales_Office|Customer_Type_Code|Delivery_Plant|Payment_Terms|Service_Policy      |Latitude         |Longitude        |Geo_Flag   |Use_DMS|To_be_Closed_outlet|Account_Group|Suppression_Reason_Code
8274633        |8274633   |TOKO SAFA CELL                     |R               |25         |RYGMP2    |RYSM1CS   |JL KEBUN CENGKEH NO 01 RW 06       |        |081343083266    |                |O             |           2020-02-23 00:00:00.0000000 +00:00|RY2DEC    |1             |RY1DRSN3   |                      |D8952          |N19                  |N                      |           2019-05-08 00:00:00.0000000|7816285               |N70                              |DST         |O                 |3300          |Y001         |Black               |  -3.681620000000| 128.200634000000|          2|       |                   |Y001         |DP                     
9654112        |9654112   |TOKO SOBIKIN                       |S               |04         |RYGMG1    |RYSM1CA   |JL RAYA PCT SOLO KM 15 NO 54 D     |        |08191385242     |                |O             |           2019-02-01 00:00:00.0000000 +00:00|RY2D1V    |1             |RY1DNB0W   |                      |D9900          |N16                  |N                      |           2019-05-06 00:00:00.0000000|7123124               |N70                              |DEQ         |O                 |3299          |Y001         |Bronze              |  -8.216699000000| 111.057805000000|          5|       |P                  |Y001         |DP                     
3374296        |3374296   |SIDO ROSO                          |N               |03         |RYGMC2    |RYSM2EA   |JL RAYA KARANG KABUR 2 RT 3/2      |        |081327968888    |02816598888     |O             |           2022-11-01 00:00:00.0000000 +00:00|RY2DRE    |1             |RY1DNAWY   |                      |D9900          |N22                  |N                      |           2019-05-06 00:00:00.0000000|9715253               |N70                              |DED         |O                 |3299          |Y001         |Bronze              |  -7.385091000000| 109.343274000000|          5|       |                   |Y001         |DS                     
9730732        |9730732   |KIOS IBU NUR                       |R               |25         |RYGMP2    |RYSM1CS   |JL SAM RATULANGI STL TINDOI NO     |        |082198964401    |                |O             |           2022-02-09 00:00:00.0000000 +00:00|RY2DEC    |1             |RY1DRSN2   |                      |D8952          |N19                  |N                      |           2019-05-08 00:00:00.0000000|7816285               |N70                              |DST         |O                 |3300          |Y001         |Bronze              |  -3.694102000000| 128.179130000000|          6|       |                   |Y001         |DS                     
7783072        |7783072   |WARUNG ODAH                        |Q               |22         |RYGMA1    |RYSM3DA   |JL PANTAI BALANGAN GANG NO 2       |        |085858112542    |                |O             |           2021-09-04 00:00:00.0000000 +00:00|RY2DCC    |1             |RY1DQDK9   |                      |D9900          |B58                  |B                      |           2021-06-03 00:00:00.0000000|9761072               |N70                              |DDB         |O                 |3499          |Y001         |Yellow              |  -8.816158300000| 115.155488200000|          0|       |                   |Y001         |DP                     
9419770        |9419770   |KILAT AUTO CARE                    |M               |07         |RYGMN2    |RYSM2MA   |JL COKRO AMINOTO NO 84 RUKO        |        |085361354861    |                |S             |           2020-09-26 00:00:00.0000000 +00:00|RY2DTO    |1             |RY1DMIH9   |                      |D9900          |N45                  |N                      |           2019-05-05 00:00:00.0000000|                      |NULL                             |DMH         |O                 |3500          |Y001         |Bronze              |   2.963672000000|  99.068647000000|          5|       |                   |Y001         |DP                     
7942736        |7942736   |TOKO ABDI                          |S               |04         |RYGMF3    |RYSM1BT   |JL PONPES NURJA NO 32 TANJUN       |        |081239695087    |                |O             |           2023-03-09 00:00:00.0000000 +00:00|RY2DPE    |1             |RY1DSSI2   |                      |D9900          |N16                  |N                      |           2022-06-14 00:00:00.0000000|9671864               |N70                              |DSE         |O                 |3300          |Y001         |Yellow              |  -7.728299900000| 113.478344700000|          0|       |                   |Y001         |DS                     
8196425        |8196425   |TOKO DUA PUTRI                     |O               |01         |RYGMB1    |RYSM1AO   |JL KERT ASARI NO 22 RT 02/2        |        |085295946900    |                |O             |           2019-04-02 00:00:00.0000000 +00:00|RY2D7S    |1             |RY1DOC7I   |                      |D9900          |N15                  |N                      |           2019-05-05 00:00:00.0000000|4615561               |N70                              |DBH         |O                 |3159          |Y001         |Black               |  -6.680086000000| 108.239277000000|          3|       |A                  |Y001         |DL                     
5224919        |5224919   |MM OB2 92                          |Q               |22         |RYGMF1    |RYSM44A   |JL LAKSAMANA OBEROI NO 115         |        |081805300306    |0361763962      |Y             |                                         NULL|RY2DBV    |8             |RYEDQDR5   |RYEDQDR5              |D4158          |F14                  |F                      |           2019-05-05 00:00:00.0000000|5223366               |F13                              |DSB         |O                 |3499          |Y001         |Platinum            |  -8.683930000000| 115.153547000000|          1|       |                   |Y001         |                       
9565080        |9565080   |HIKMAH ROTI                        |U               |18         |RYGMS1    |RYSM1UF   |JL KADIDI NO 99                    |        |085372983983    |                |O             |           2019-12-21 00:00:00.0000000 +00:00|RY2D7U    |1             |RY1DUU2H   |                      |D9900          |N16                  |N                      |           2019-05-08 00:00:00.0000000|7062107               |N70                              |DUC         |O                 |3901          |Y001         |Bronze              |  -3.867774000000| 119.815211000000|          5|       |                   |Y001         |DP                     
